eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
8,Simple pass,['Accurate'],Mohammad Ibrahim Al Sahlawi,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,1.656214,Simple pass,258612104,50,50,35.0,53.0
8,High pass,['Accurate'],Abdullah Ibrahim Otayf,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,4.487814,High pass,258612106,35,53,75.0,19.0
1,Air duel,"['Won', 'Accurate']",Ilya Kutepov,"Russia - Saudi Arabia, 5 - 0",Duel,Russia,1H,5.937411000000001,Air duel,258612077,25,81,37.0,83.0
1,Air duel,"['Lost', 'Not accurate']",Yasir Gharsan Al Shahrani,"Russia - Saudi Arabia, 5 - 0",Duel,Saudi Arabia,1H,6.406960999999999,Air duel,258612112,75,19,63.0,17.0
8,Simple pass,['Accurate'],Salman Mohammed Al Faraj,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,8.562166999999999,Simple pass,258612110,63,17,71.0,15.0
8,Simple pass,['Accurate'],Salem Mohammed Al Dawsari,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,10.991292000000001,Simple pass,258612113,71,15,92.0,11.0
1,Ground attacking duel,"['Free space right', 'Won', 'Accurate']",Salman Mohammed Al Faraj,"Russia - Saudi Arabia, 5 - 0",Duel,Saudi Arabia,1H,14.081637,Ground attacking duel,258612115,92,11,88.0,11.0
8,Simple pass,['Accurate'],Salman Mohammed Al Faraj,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,15.039162999999999,Simple pass,258612116,88,11,88.0,13.0
8,Simple pass,['Accurate'],Yasir Gharsan Al Shahrani,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,16.438878,Simple pass,258612117,88,13,70.0,13.0
8,Simple pass,['Accurate'],Salem Mohammed Al Dawsari,"Russia - Saudi Arabia, 5 - 0",Pass,Saudi Arabia,1H,17.745299,Simple pass,258612119,70,13,71.0,28.0
